x1_score,x2_score,vp_joint_score,vp_shared_score,vp_x1_unique_score,vp_x2_unique_score,rm_x2_to_x1_score,rm_x1_to_x2_score,rm_x1_unique_score,rm_x2_unique_score
0.57247627,0.579802,0.88869864,0.26357955,0.30889672,0.31622243,0.9879873991012573,0.9884692430496216,0.33707595,0.28478086
0.53473365,0.47985804,0.876541,0.13805068,0.39668298,0.34180737,0.9887160062789917,0.9872531890869141,0.13316363,0.34931737
0.6194732,0.5259307,0.88639313,0.25901073,0.3604625,0.26691997,0.9861584305763245,0.9886691570281982,0.37031585,0.13243783
0.6293736,0.6266129,0.88521415,0.3707723,0.2586013,0.2558406,0.9854680895805359,0.9858625531196594,0.26533848,0.2524737
0.6095537,0.6029947,0.8965704,0.315978,0.2935757,0.2870167,0.9866008162498474,0.9856997728347778,0.37789142,0.41395158
0.7083781,0.54802895,0.8666573,0.3897497,0.31862837,0.15827924,0.9885361790657043,0.988578736782074,0.30864704,0.17152244
0.5367421,0.5902271,0.88024193,0.24672729,0.2900148,0.34349984,0.9805583953857422,0.9827738404273987,0.20388693,0.23206288
0.50746226,0.4257732,0.85546786,0.07776761,0.42969465,0.3480056,0.9854099750518799,0.9833746552467346,0.30908263,0.22578788
0.5938525,0.6884522,0.90203977,0.380265,0.21358752,0.3081872,0.985557496547699,0.9842658638954163,0.20894563,0.3684622
0.6067008,0.63280463,0.9098245,0.32968092,0.27701986,0.3031237,0.9849417209625244,0.9870076775550842,0.27452642,0.3711058
0.5108465,0.5138018,0.89778024,0.12686807,0.38397843,0.38693374,0.9789631366729736,0.9771013259887695,0.17531961,0.2659616
0.63076365,0.6020961,0.8892093,0.34365046,0.2871132,0.25844562,0.9821386337280273,0.9875084161758423,0.32715583,0.23573822
0.59377706,0.64645386,0.9096819,0.330549,0.26322806,0.31590486,0.9813223481178284,0.9834310412406921,0.22259313,0.25183636
0.64331496,0.48374987,0.86805403,0.2590108,0.38430417,0.22473907,0.9876735210418701,0.9858173131942749,0.4289375,0.27433938
0.5938867,0.51602864,0.8821236,0.22779167,0.366095,0.28823698,0.9880849123001099,0.9895894527435303,0.32898778,0.3546189
0.6681484,0.5458795,0.9116025,0.30242538,0.365723,0.2434541,0.9870457649230957,0.9901390671730042,0.4111408,0.28291357
0.5610559,0.5427346,0.8844085,0.21938205,0.34167385,0.32335258,0.9864866137504578,0.9837082028388977,0.2825573,0.22565985
0.56621385,0.6194358,0.8968213,0.2888283,0.27738553,0.33060747,0.9850404262542725,0.9856956005096436,0.2512313,0.24054235
0.5368835,0.5320165,0.8754995,0.1934005,0.34348297,0.338616,0.9868881702423096,0.9891331195831299,0.23974705,0.26839203
0.53264725,0.56197286,0.8743371,0.22028303,0.31236422,0.34168983,0.9851584434509277,0.9825466275215149,0.1417129,0.29224837
0.57688,0.48825884,0.9035529,0.16158593,0.41529405,0.3266729,0.9881551265716553,0.9870378375053406,0.21947819,0.24656892
0.59575963,0.57210946,0.87422585,0.29364324,0.3021164,0.27846622,0.9839496612548828,0.9852784276008606,0.22119689,0.20340687
0.5586605,0.5955935,0.86809117,0.2861628,0.2724977,0.30943072,0.9833317399024963,0.9880580902099609,0.12043095,0.2975821
0.48079896,0.6465808,0.88865626,0.23872352,0.24207544,0.4078573,0.9870412349700928,0.9842888712882996,0.1835714,0.21888989
0.4895767,0.48472852,0.869758,0.1045472,0.3850295,0.3801813,0.9864882230758667,0.9874892830848694,0.2320131,0.14588875
0.5651603,0.5446073,0.8678113,0.24195623,0.32320404,0.30265105,0.9915000796318054,0.9870985150337219,0.07005125,0.20482671
0.5559371,0.47518843,0.88277733,0.14834821,0.4075889,0.32684022,0.9834445714950562,0.98073410987854,0.25951535,0.32571918
0.5932424,0.5389525,0.8993365,0.23285848,0.36038393,0.30609405,0.987524151802063,0.9849396347999573,0.2939012,0.27013862
0.66913843,0.6459749,0.87976897,0.43534434,0.2337941,0.21063054,0.9875689744949341,0.9881355166435242,0.30598515,0.2845958
0.50307274,0.49936002,0.867702,0.13473082,0.36834192,0.3646292,0.9835608601570129,0.9873788356781006,0.23415685,0.08987337
0.59076226,0.4739347,0.8561778,0.20851922,0.38224304,0.2654155,0.9855422377586365,0.9834705591201782,0.3392737,0.1394912
0.62722385,0.574042,0.8823157,0.31895012,0.30827373,0.2550919,0.9848540425300598,0.9843822121620178,0.21185124,0.2970423
0.6524998,0.59861684,0.88741755,0.36369908,0.28880072,0.23491776,0.981045663356781,0.9827699661254883,0.36696094,0.30334008
0.6563698,0.37936527,0.85568625,0.18004888,0.47632092,0.19931638,0.9796334505081177,0.981753945350647,0.38227713,0.15756011
0.6167197,0.47244918,0.89610416,0.19306475,0.42365497,0.27938443,0.9775265455245972,0.9858608245849609,0.36272788,0.042502165
0.64980656,0.56501603,0.9256743,0.2891482,0.36065835,0.27586782,0.979830265045166,0.9835315942764282,0.2876987,0.23674315
0.58245933,0.45451593,0.88979816,0.1471771,0.43528223,0.30733883,0.9861783385276794,0.9827699661254883,0.2646618,0.26520282
0.62073874,0.53775656,0.901973,0.2565223,0.36421645,0.28123426,0.9863510131835938,0.9855716824531555,0.32186568,0.28484917
0.6045235,0.5931709,0.8943081,0.3033862,0.30113727,0.28978467,0.9856942892074585,0.9860011339187622,0.28304565,0.21067315
0.51250815,0.4223737,0.8714994,0.06338245,0.4491257,0.35899127,0.9876972436904907,0.9898790717124939,0.22214884,0.0695343
0.6067438,0.59375477,0.87668973,0.32380885,0.28293496,0.26994592,0.9880483746528625,0.9860758185386658,0.25038463,0.29376954
0.4635334,0.5283901,0.88172126,0.11020225,0.35333115,0.41818786,0.9847577810287476,0.9848803281784058,0.13865447,0.2976588
0.53077126,0.59923434,0.88799477,0.24201083,0.28876042,0.3572235,0.990433931350708,0.9889981150627136,0.33390844,0.42481154
