semantic\powspec,joint\powspec
0.02678115571132216,0.02678115571132216
0.0,0.0
0.04529137349937898,0.04529137349937898
0.0,0.0
0.06706039629130023,0.06706039629130023
0.0,0.0
0.10472951242694639,0.10472951242694639
0.0,0.0
0.0,0.0
0.0,0.0
0.05811525713469049,0.05811525713469049
0.14384147195133223,0.14384147195133223
0.0,0.0
0.0,0.0
0.037723939912055464,0.037723939912055464
0.0,0.0
0.0,0.0
0.047577901919224286,0.047577901919224286
0.0,0.0
0.10959537927852127,0.10959537927852127
0.14704346873999324,0.14704346873999324
0.044868301323990056,0.044868301323990056
0.06125057767798502,0.06125057767798502
0.0,0.0
0.03958255834791991,0.039582558347919926
0.02436935417291361,0.02436935417291361
0.0,0.0
0.0,0.0
0.04278988485217172,0.04278988485217172
0.0,0.0
0.027576218956609045,0.027576218956609045
0.0,0.0
0.0,0.0
0.05272860958449811,0.05272860958449811
0.0,0.0
0.0,0.0
0.04375023450102172,0.04375023450102172
0.03963053527587797,0.03963053527587797
0.08616792611284642,0.08616792611284642
0.0501426275573485,0.050142627557348496
0.0,0.0
0.004354251221785209,0.004354251221785209
0.05941936468109098,0.05941936468109098
0.11348875038008581,0.11348875038008581
0.13083703500681598,0.13083703500681598
0.0,0.0
0.0,0.0
0.0,0.0
0.026807701846318453,0.026807701846318453
0.0,0.0
0.0,0.0
0.11114028437390772,0.11114028437390772
0.08275986155835045,0.08275986155835045
0.03569075317967039,0.03569075317967039
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.1118105276753015,0.1118105276753015
0.10597440941410205,0.10597440941410205
0.12577759559717377,0.12577759559717375
0.0,0.0
0.004803907513138404,0.004803907513138404
0.0,0.0
0.013886363048423776,0.013886363048423776
0.0,0.0
0.038768333964104576,0.038768333964104576
0.0,0.0
0.0,0.0
0.03429614266679026,0.03429614266679026
0.003929943925145907,0.003929943925145907
0.09861250754265294,0.09861250754265294
0.02543047296473956,0.02543047296473956
0.0,0.0
0.1325721317127652,0.1325721317127652
0.0,0.0
0.1148744267158741,0.1148744267158741
0.0,0.0
0.06692468246121994,0.06692468246121994
0.04635284230810436,0.04635284230810435
0.0,0.0
0.0,0.0
0.009750595959467057,0.009750595959467057
0.0,0.0
0.0,0.0
0.0,0.0
0.0037430225548713294,0.0037430225548713294
0.09372540223905733,0.09372540223905733
0.032480989499876455,0.032480989499876455
0.06158258636323445,0.06158258636323445
0.14565316083008212,0.14565316083008212
0.07987625495643004,0.07987625495643004
0.0,0.0
0.0,0.0
0.0,0.0
0.10185098935391114,0.10185098935391113
0.0,0.0
0.06054136277915136,0.06054136277915136
0.023618124615710605,0.023618124615710605
0.11376375685718264,0.11376375685718264
0.0,0.0
0.0,0.0
0.0,0.0
0.07461436966678861,0.07461436966678861
0.07583931357254133,0.07583931357254133
0.1025329743705663,0.10253297437056628
0.0,0.0
0.09067284891785339,0.09067284891785339
0.0,0.0
0.07364822641995875,0.07364822641995875
