correlation_score,r2_score,p_value
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
,0.0,
0.028674292664282803,0.00060135126,0.6261579421231162
0.08953613882343632,0.0079423785,0.12754359489661712
-0.011424347178500537,-0.00040185452,0.8461349277735836
-0.05150760465535661,-0.014398336,0.3813272481223121
-0.042038513095508157,-0.013511419,0.47500914993066234
0.10752964523288001,0.011185288,0.06699049951796199
0.12700113851317144,0.0037949681,0.030316520425009326
0.030926056132273717,-0.0023288727,0.5992953833286863
0.028661081755384187,-0.0057851076,0.626317055635909
0.07935607994769278,0.006210327,0.1770105967925189
0.027068608268841093,-0.0016226768,0.6456219368780522
0.09368909181600132,0.008776903,0.11074642152669624
0.023313665286429232,-0.00082969666,0.6920729748798056
-0.006846461423070742,-0.0004339218,0.9074222606709549
0.19003208326217372,0.025631547,0.0011240410445822757
0.2363875741673184,0.03844303,4.641431718160719e-05
0.2272898505623809,0.031458437,9.157009359121852e-05
-0.04315983981577132,-0.0011657476,0.4632994484910834
