,$(X_1\cup X_2)\beta \approx Y$,$X_1\beta \approx Y$,$X_2\beta \approx Y$,$R^2(X_1\beta \approx Y)\cap R^2(X_2\beta \approx Y)$,$R^2(X_1\beta \approx Y) \setminus R^2(X_2\beta \approx Y)$,$R^2(X_2\beta \approx Y) \setminus R^2(X_1\beta \approx Y)$
0,0.897115,0.5632411,0.5668701,0.23299623,0.3302449,0.33387387
1,0.8765831,0.551462,0.59079784,0.26567674,0.28578526,0.3251211
2,0.93950796,0.6213094,0.6826128,0.36441422,0.25689518,0.31819856
3,0.901428,0.58000815,0.637032,0.31561208,0.26439607,0.3214199
4,0.9021666,0.52526987,0.5390628,0.16216612,0.36310375,0.37689668
5,0.8401534,0.4337923,0.55502653,0.14866543,0.28512686,0.4063611
6,0.8261382,0.5074105,0.49447697,0.17574936,0.33166116,0.3187276
7,0.8528722,0.5504386,0.40701926,0.10458565,0.44585294,0.3024336
8,0.887787,0.5454069,0.49398345,0.15160334,0.39380354,0.3423801
9,0.8913224,0.5246273,0.48993945,0.123244405,0.40138292,0.36669505
10,0.874073,0.56453466,0.5244597,0.21492136,0.3496133,0.30953836
11,0.88990486,0.6326165,0.5145471,0.25725877,0.37535775,0.25728834
12,0.90211314,0.6172306,0.52318966,0.23830706,0.37892354,0.2848826
13,0.8472119,0.48077267,0.46791798,0.101478755,0.37929392,0.36643922
14,0.9085619,0.6693125,0.5390021,0.29975277,0.3695597,0.23924935
15,0.8992095,0.54792714,0.61000884,0.25872648,0.28920066,0.35128236
16,0.8315627,0.45080286,0.5607203,0.17996055,0.2708423,0.38075978
17,0.8986719,0.543665,0.5768727,0.22186583,0.32179916,0.35500687
18,0.8933994,0.5884798,0.67522675,0.37030715,0.21817267,0.3049196
19,0.9057203,0.44643295,0.61696315,0.1576758,0.28875715,0.45928735
20,0.8833059,0.5186635,0.5917287,0.2270863,0.29157722,0.36464238
21,0.8823476,0.59468424,0.53350866,0.24584532,0.34883893,0.28766334
22,0.90350753,0.58118427,0.56666565,0.24434239,0.33684188,0.32232326
23,0.89764845,0.66663504,0.6134653,0.3824519,0.28418314,0.23101342
24,0.89574045,0.5190272,0.61179864,0.23508531,0.28394186,0.37671334
25,0.87510633,0.5483463,0.41336232,0.08660227,0.461744,0.32676005
26,0.87866247,0.6510048,0.6161656,0.38850796,0.26249683,0.22765762
27,0.9051111,0.6069543,0.5154586,0.21730185,0.38965243,0.29815674
28,0.88091666,0.5686244,0.557243,0.24495071,0.32367367,0.31229228
29,0.88793784,0.4795894,0.56370384,0.1553554,0.324234,0.40834844
30,0.8855715,0.55062246,0.579128,0.24417901,0.30644345,0.33494902
31,0.8882689,0.5371993,0.6093992,0.2583297,0.27886963,0.3510695
32,0.8584181,0.57660544,0.49254644,0.21073377,0.36587167,0.28181267
33,0.9180043,0.7275667,0.55312765,0.3626901,0.36487663,0.19043756
34,0.90896237,0.6036823,0.5781121,0.27283204,0.33085024,0.3052801
35,0.8639306,0.52703345,0.49639636,0.15949929,0.36753416,0.33689708
36,0.88257277,0.52973855,0.53322613,0.18039191,0.34934664,0.35283422
37,0.88614976,0.6023257,0.58687526,0.3030511,0.29927456,0.28382415
38,0.9023526,0.5623629,0.63093215,0.29094243,0.27142048,0.33998972
39,0.8732171,0.47078705,0.5874122,0.18498206,0.285805,0.40243012
40,0.88720226,0.5590749,0.43561924,0.10749185,0.45158303,0.32812738
41,0.8833018,0.6752603,0.67343485,0.46539336,0.20986694,0.20804149
42,0.9196074,0.6438612,0.6370674,0.3613212,0.28253996,0.27574617
43,0.88132393,0.65436363,0.5768491,0.3498888,0.30447483,0.2269603
44,0.88516,0.57539624,0.5838983,0.27413458,0.30126166,0.30976373
45,0.902014,0.5537983,0.6208923,0.2726766,0.28112173,0.3482157
46,0.8862774,0.5768548,0.414329,0.10490644,0.4719484,0.30942255
47,0.8728702,0.4320702,0.63457537,0.19377542,0.23829478,0.44079995
48,0.89457715,0.5092188,0.6276444,0.24228609,0.26693273,0.38535833
49,0.900014,0.6660415,0.5677099,0.33373743,0.33230406,0.23397249
50,0.89612365,0.5951693,0.5728994,0.271945,0.3232243,0.3009544
51,0.8566518,0.45944452,0.54203486,0.1448276,0.31461692,0.39720726
52,0.90829873,0.57719517,0.5448813,0.21377778,0.3634174,0.3311035
53,0.9017568,0.62944865,0.57895654,0.30664843,0.32280022,0.2723081
54,0.90477365,0.6656855,0.5512434,0.3121553,0.35353017,0.23908812
55,0.8889004,0.5883076,0.60824955,0.30765676,0.28065085,0.30059278
56,0.89139116,0.56604946,0.5062691,0.1809274,0.38512206,0.3253417
57,0.9055282,0.59844065,0.5584574,0.25136983,0.3470708,0.30708754
58,0.8886037,0.543607,0.6075665,0.2625698,0.2810372,0.3449967
59,0.8941428,0.62752813,0.58916265,0.32254797,0.30498016,0.26661468
60,0.8777336,0.5871529,0.505569,0.21498835,0.37216455,0.29058063
61,0.85870516,0.5469109,0.51988506,0.20809078,0.3388201,0.31179428
62,0.91561174,0.59696186,0.55637556,0.23772573,0.35923612,0.31864983
63,0.8916226,0.5046217,0.6022376,0.2152366,0.28938508,0.38700098
64,0.91990966,0.6396898,0.63591444,0.3556946,0.2839952,0.28021985
65,0.8620098,0.41809887,0.57996655,0.13605559,0.28204328,0.44391096
66,0.89815944,0.59180844,0.6646039,0.35825282,0.23355561,0.30635107
67,0.87788445,0.583011,0.42053443,0.12566096,0.45735002,0.29487348
68,0.8691172,0.55490834,0.58853495,0.27432615,0.2805822,0.3142088
69,0.8877034,0.5701508,0.53428304,0.21673036,0.35342044,0.3175527
70,0.85915613,0.6160456,0.5933069,0.35019636,0.26584923,0.24311054
71,0.8488451,0.4491815,0.63836026,0.2386967,0.2104848,0.39966357
72,0.8752093,0.5767806,0.57508,0.27665132,0.3001293,0.29842865
73,0.9153091,0.6286241,0.6471357,0.36045063,0.26817346,0.28668505
74,0.9065099,0.64914185,0.5632145,0.30584645,0.3432954,0.25736803
