,$X_1\beta \approx Y$,$X_2\beta \approx Y$,$X_1\beta \approx X_2$,$X_2\beta \approx X_1$,$X_1'\beta \approx Y$,$X_2'\beta \approx Y$
0,0.71784157,0.5457968,0.98838871717453,0.9901894927024841,0.31491816,0.2130295
1,0.7238825,0.60598016,0.9831745028495789,0.9871342182159424,0.19966972,0.11159581
2,0.7764803,0.6638364,0.9826167821884155,0.9855362772941589,0.4112264,0.18640059
3,0.73027307,0.6362015,0.983302891254425,0.9802003502845764,0.20194733,0.18011653
4,0.7009698,0.5280595,0.9922142624855042,0.9911037087440491,0.17833823,0.1641565
5,0.6259222,0.5540904,0.9872694611549377,0.9875392317771912,0.21512377,0.080566585
6,0.690586,0.5196847,0.9883550405502319,0.9868582487106323,0.18111163,-0.04631591
7,0.70698845,0.40334743,0.9787608981132507,0.9802103638648987,0.33776712,0.09805757
8,0.7199559,0.49295008,0.9874898195266724,0.984649658203125,0.37041086,0.0438295
9,0.710279,0.4835109,0.9870309233665466,0.9864809513092041,0.24342167,0.05763513
10,0.723771,0.5336064,0.9874993562698364,0.9841253757476807,0.19883895,0.15278429
11,0.76361895,0.53549695,0.9912263751029968,0.9876237511634827,0.41714013,0.05534184
12,0.754464,0.50986505,0.988845705986023,0.9861700534820557,0.33024907,0.16682899
13,0.66936135,0.4765886,0.9853346347808838,0.9838895797729492,0.28395665,0.024816275
14,0.79634225,0.5541227,0.9828658103942871,0.9876395463943481,0.38836408,0.113999605
15,0.7224785,0.6121537,0.981041431427002,0.9781379699707031,0.33819586,0.11833882
16,0.6309898,0.5496661,0.9836202263832092,0.9840801358222961,0.24663758,0.09446949
17,0.71627754,0.5785097,0.986677885055542,0.9865897297859192,0.2531653,0.16561645
18,0.7396935,0.67269164,0.9846356511116028,0.9823737144470215,0.19595486,0.23197609
19,0.67228395,0.64523524,0.982544481754303,0.9806580543518066,0.036132753,0.08107233
20,0.70178723,0.5917198,0.9854866862297058,0.9859456419944763,0.1784777,0.017003536
