,$X_1$,$X_2$,$X_1'_{ridge}$,$X_2'_{ridge}$,$X_1'_{OLS}$,$X_2'_{OLS}$
0,0.72544813,0.38794613,0.47438478,0.19674921,0.4457947,0.19882756
1,0.7117088,0.44283634,0.34759003,0.118257284,0.33877832,0.10325962
2,0.7787552,0.5455173,0.5345007,0.19322497,0.51194966,0.2008282
3,0.7211766,0.47702086,0.34002256,0.17152107,0.31111163,0.15694416
4,0.696998,0.34634745,0.3434897,0.13859439,0.32337052,0.12683713
5,0.62440383,0.39151204,0.37931615,0.09496206,0.33426088,0.063893914
6,0.6859856,0.33612162,0.35537392,-0.035271287,0.32752597,-0.07031882
7,0.72422516,0.23521954,0.5045084,0.07177836,0.45119613,0.06733608
8,0.7362641,0.33514506,0.53106314,0.039521515,0.5034932,0.007280946
9,0.71245193,0.31668317,0.41391927,0.05884266,0.41948575,0.048132062
10,0.7213582,0.34852022,0.36557907,0.14057034,0.3103494,0.13777989
11,0.77248156,0.38647556,0.5603,0.058978915,0.55098283,0.061407506
12,0.76223946,0.35469276,0.49392468,0.15925866,0.45700973,0.15181065
13,0.6729028,0.31344205,0.44957078,0.060495794,0.4212554,0.05831027
14,0.799949,0.40163416,0.5305545,0.10114962,0.50741243,0.11931908
15,0.71930635,0.4669485,0.47239345,0.12050933,0.44609302,0.12930262
16,0.6366451,0.40149885,0.39433807,0.105920255,0.36077076,0.09419149
17,0.7134772,0.4055274,0.41136873,0.15981191,0.39095354,0.18112105
18,0.7230648,0.5328281,0.31777215,0.21954983,0.29944038,0.22266936
19,0.63954765,0.43720257,0.1811896,0.07014203,0.170654,0.047475398
20,0.69243485,0.42765427,0.34014827,0.036646962,0.32850403,0.04300636
21,0.7371101,0.37501836,0.47117817,0.15860647,0.490466,0.15732628
22,0.7499238,0.38911307,0.5087015,0.19583786,0.49561715,0.18527657
23,0.7977916,0.47185725,0.51442575,0.18364507,0.50249696,0.16674781
24,0.6858275,0.43078887,0.26007223,0.16985774,0.25902033,0.1690855
25,0.7240366,0.22659153,0.39973116,0.04704207,0.36973113,0.020107746
26,0.7775209,0.5001875,0.47267318,0.07820314,0.4418286,0.07304454
27,0.7600203,0.35959572,0.55119896,0.12857401,0.5161854,0.11942661
28,0.7200242,0.36020422,0.3281256,0.1807608,0.32783473,0.17556882
29,0.68419373,0.3953256,0.46810424,0.10785627,0.43143523,0.09860313
30,0.7043313,0.38153833,0.3314901,0.21957666,0.325841,0.22466421
31,0.70586854,0.4686051,0.4449439,0.11481607,0.42815828,0.08836299
32,0.7403579,0.362958,0.31649947,-0.06478572,0.28523618,-0.082650065
33,0.8392669,0.4197204,0.5271191,0.055473447,0.49458635,0.07739556
34,0.7529533,0.41518068,0.42569208,0.14428145,0.39268875,0.16526073
35,0.69415367,0.31681216,0.36923087,0.07632452,0.3426528,0.077562094
36,0.71460474,0.39101595,0.5839553,0.094652,0.56398094,0.090035975
37,0.735217,0.4357804,0.31707078,0.10521388,0.28499395,0.12618893
38,0.71612334,0.47195446,0.45128596,0.22643387,0.43889064,0.21493316
39,0.66266704,0.43015867,0.38931555,0.07356495,0.33528644,0.058774173
40,0.7434355,0.2782336,0.38848126,-0.027034879,0.37215126,-0.03515756
41,0.7848388,0.5747822,0.45799047,0.10820305,0.47412848,0.112238705
42,0.7963187,0.51390994,0.53367126,0.07410383,0.5471759,0.050992846
43,0.7767427,0.43845826,0.44372874,0.12907219,0.40111297,0.13910252
44,0.72542286,0.43965173,0.48393983,0.1524992,0.49066806,0.14374995
45,0.7135407,0.47049874,0.4460318,0.15154606,0.43396962,0.16047275
46,0.75707,0.24214655,0.4914279,-0.04497671,0.4917512,-0.06671286
47,0.6087748,0.47333127,0.3089761,0.1964274,0.33779633,0.16178972
48,0.6885394,0.4512465,0.28643137,0.05317408,0.24945831,0.03779918
49,0.78975224,0.4426741,0.55136025,0.1330303,0.563591,0.11888009
50,0.74232876,0.40013456,0.32882208,0.1692909,0.30239636,0.16667563
51,0.66019106,0.38780892,0.41310406,0.033030808,0.44618136,0.018327117
52,0.757403,0.3824852,0.4548939,0.05660665,0.43900836,0.015553713
53,0.77123326,0.42349154,0.3944438,0.097120225,0.40401012,0.098284304
54,0.8009366,0.40206236,0.5485048,0.1158371,0.5293733,0.10383642
55,0.7345376,0.4729256,0.5451653,0.169671,0.53222764,0.17517215
56,0.712858,0.30651587,0.4154386,0.24154603,0.3812484,0.22529078
57,0.7360884,0.37281626,0.26330507,0.16870177,0.22137612,0.16366327
58,0.6947756,0.44569403,0.3703459,0.19400728,0.3449406,0.20052254
59,0.7756663,0.4573908,0.41346538,-0.032782435,0.37027752,-0.06009078
60,0.74392366,0.34149426,0.3120383,0.035988986,0.25484753,0.012134492
61,0.7243465,0.37495148,0.45835096,0.03128147,0.44025534,0.039506197
62,0.76851106,0.38950783,0.5370797,0.08637756,0.501148,0.07870424
63,0.6786362,0.42404544,0.31606787,0.13371563,0.26172578,0.13357908
64,0.77158725,0.48353618,0.4509158,0.18856627,0.45421064,0.1792646
65,0.61440134,0.42196918,0.2946992,0.048095465,0.24896663,0.01390326
66,0.73039836,0.50934255,0.34971,0.20898515,0.37544394,0.18797064
67,0.7465997,0.26205283,0.5322641,0.0722729,0.5130571,0.079250455
68,0.71240693,0.44740385,0.49072856,0.06599563,0.48185396,0.072692156
69,0.73635846,0.3731898,0.5079694,0.1492086,0.48133987,0.17995209
70,0.7469125,0.46569002,0.46195942,0.12942237,0.44185066,0.10208583
71,0.6095274,0.4726985,0.29719746,0.23017436,0.27549553,0.21471709
72,0.7373996,0.41720736,0.40391505,0.10621935,0.40095,0.10952252
73,0.7778496,0.50225484,0.53304666,0.18187279,0.53233266,0.18355346
74,0.770862,0.41745335,0.49339366,0.18891013,0.511027,0.17204982
75,0.79663604,0.40303487,0.6201143,0.15286309,0.60798466,0.15736854
76,0.76819634,0.3301121,0.5631343,0.12457359,0.5288258,0.13355392
77,0.77836883,0.38604683,0.51929665,0.16679573,0.5149305,0.15310025
78,0.73301566,0.5671122,0.40023065,0.23063451,0.38154596,0.20226932
79,0.75017357,0.47200257,0.38616747,0.18991339,0.3556323,0.18155879
80,0.7623622,0.4630494,0.48109752,0.18304324,0.46897197,0.17812127
81,0.6795948,0.3082428,0.5218183,0.14792126,0.535313,0.1554445
