,$X_1\beta \approx Y$,$X_2\beta \approx Y$,$X_1\beta \approx X_2$,$X_2\beta \approx X_1$,$X_1'\beta \approx Y$,$X_2'\beta \approx Y$,$X_1'$,$X_2'$
0,0.56404924,0.56654847,0.98838871717453,0.9901894927024841,0.30574286,0.37199175,0.30574286,0.37199175
1,0.5532886,0.5916325,0.9831745028495789,0.9871342182159424,0.21312243,0.2613166,0.21312243,0.2613166
2,0.6174148,0.6760986,0.9826167821884155,0.9855362772941589,0.38721567,0.34828657,0.38721567,0.34828657
3,0.579412,0.6336576,0.983302891254425,0.9802003502845764,0.20095032,0.334597,0.20095032,0.334597
4,0.5275034,0.53132194,0.9922142624855042,0.9911037087440491,0.16014147,0.31289774,0.16014147,0.31289774
5,0.43820035,0.5552114,0.9872694611549377,0.9875392317771912,0.21501863,0.2586937,0.21501863,0.2586937
6,0.49951762,0.4900959,0.9883550405502319,0.9868582487106323,0.19008642,0.09686732,0.19008642,0.09686732
7,0.5524703,0.41131914,0.9787608981132507,0.9802103638648987,0.31278646,0.22829205,0.31278646,0.22829205
8,0.5507618,0.48931718,0.9874898195266724,0.984649658203125,0.34079164,0.18876183,0.34079164,0.18876183
9,0.52826923,0.47661328,0.9870309233665466,0.9864809513092041,0.24197894,0.2115627,0.24197894,0.2115627
10,0.5636921,0.5307812,0.9874993562698364,0.9841253757476807,0.20742416,0.29934072,0.20742416,0.29934072
11,0.63683355,0.5134692,0.9912263751029968,0.9876237511634827,0.41645283,0.16633224,0.41645283,0.16633224
12,0.6158727,0.5173888,0.988845705986023,0.9861700534820557,0.34009767,0.31350213,0.34009767,0.31350213
13,0.4787957,0.4686134,0.9853346347808838,0.9838895797729492,0.3154105,0.18733168,0.3154105,0.18733168
14,0.6681078,0.5375546,0.9828658103942871,0.9876395463943481,0.37566656,0.22577977,0.37566656,0.22577977
15,0.5436027,0.61098516,0.981041431427002,0.9781379699707031,0.31912166,0.27775592,0.31912166,0.27775592
16,0.44869757,0.56096256,0.9836202263832092,0.9840801358222961,0.24126148,0.2674287,0.24126148,0.2674287
