,$(X_1\cup X_2)\beta \approx Y$,$X_1\beta \approx Y$,$X_2\beta \approx Y$,$R^2(X_1\beta \approx Y)\cap R^2(X_2\beta \approx Y)$,$R^2(X_1\beta \approx Y) \setminus R^2(X_2\beta \approx Y)$,$R^2(X_2\beta \approx Y) \setminus R^2(X_1\beta \approx Y)$
8750,0.896176,0.7184861,0.28916895,0.111479044,0.607007,0.17768991
8751,0.897683,0.74994266,0.49289393,0.34515357,0.4047891,0.14774036
8752,0.8703701,0.7347549,0.43819094,0.30257577,0.43217915,0.13561517
8753,0.9315448,0.77707744,0.46410018,0.30963278,0.46744466,0.1544674
8754,0.89132607,0.6634929,0.46643716,0.23860395,0.42488897,0.22783321
8755,0.91610026,0.78610706,0.529135,0.3991418,0.38696527,0.1299932
8756,0.86916906,0.5535064,0.34068573,0.025023043,0.52848333,0.31566268
8757,0.91141516,0.7674554,0.46570158,0.32174176,0.44571364,0.14395982
8758,0.85781157,0.77064157,0.40641475,0.31924474,0.45139682,0.087170005
8759,0.8873496,0.68500364,0.4525001,0.25015414,0.4348495,0.20234597
8760,0.8925235,0.7734366,0.4043973,0.2853104,0.48812622,0.11908692
8761,0.9029488,0.75204146,0.40690494,0.2559976,0.49604386,0.15090734
