x1_score,x2_score,vp_joint_score,vp_shared_score,vp_x1_unique_score,vp_x2_unique_score,rm_x2_to_x1_score,rm_x1_to_x2_score,rm_x1_unique_score,rm_x2_unique_score,rm_ridge_x2_to_x1_score,rm_ridge_x1_to_x2_score,rm_ridge_x1_unique_score,rm_ridge_x2_unique_score
0.5567013,0.58395875,0.88810635,0.2525537,0.3041476,0.33140504,0.986972451210022,0.9867762327194214,0.22531134,0.22913116,0.9886885285377502,0.987991988658905,0.2506358,0.27345997
0.5615779,0.595082,0.8902738,0.26638603,0.29519188,0.32869595,0.9867510199546814,0.9868577718734741,0.24454129,0.2740932,0.9884274005889893,0.9879944920539856,0.27802664,0.29793912
0.55759156,0.5868516,0.8874006,0.25704253,0.30054903,0.32980907,0.9865002632141113,0.986689567565918,0.22614247,0.26421344,0.9880825877189636,0.9877954721450806,0.2570448,0.29376614
0.56137764,0.588079,0.8890721,0.2603845,0.30099314,0.32769448,0.9866453409194946,0.9863507151603699,0.22411299,0.26943582,0.9883124232292175,0.9877574443817139,0.25545442,0.29554802
0.55725473,0.5939344,0.88703334,0.26415575,0.293099,0.32977867,0.9865966439247131,0.9863425493240356,0.23009872,0.26828998,0.9884149432182312,0.9876468181610107,0.25825834,0.29915887
0.5533281,0.58695984,0.88631296,0.2539749,0.29935318,0.33298492,0.986527144908905,0.9867104291915894,0.21925342,0.2536481,0.9884651303291321,0.9879564642906189,0.24957764,0.28680706
0.5588696,0.5817462,0.88629746,0.25431836,0.30455124,0.32742786,0.9864089488983154,0.986630380153656,0.22979784,0.25248986,0.9882204532623291,0.9877954125404358,0.23491019,0.2823822
0.54418963,0.5833529,0.88561064,0.24193186,0.30225778,0.34142107,0.9867415428161621,0.986309826374054,0.21545875,0.25902194,0.988433837890625,0.9875258207321167,0.25637394,0.2934414
0.5546274,0.58791137,0.8857679,0.2567709,0.2978565,0.33114046,0.986468493938446,0.9865775108337402,0.20636117,0.25442672,0.9881999492645264,0.9877594709396362,0.23952109,0.28755844
0.56001824,0.5764279,0.88540184,0.25104427,0.30897397,0.3253836,0.986320972442627,0.986289381980896,0.2240231,0.27322543,0.9881381392478943,0.9876214265823364,0.26188272,0.29494876
0.5590247,0.58457625,0.8865274,0.25707352,0.30195117,0.32750273,0.9865579009056091,0.9865242838859558,0.23549819,0.2622372,0.9883581399917603,0.9877709150314331,0.26865846,0.28128123
0.5625979,0.5800131,0.8894908,0.25312024,0.30947763,0.32689285,0.9864632487297058,0.986617386341095,0.23674351,0.26594096,0.9881758689880371,0.987889289855957,0.27394778,0.28703028
0.56236315,0.58675444,0.8892946,0.25982296,0.30254018,0.32693148,0.9866231083869934,0.9865738749504089,0.22565216,0.25970852,0.9884096384048462,0.9879645705223083,0.2579484,0.29078418
0.55265856,0.588017,0.8876438,0.25303173,0.29962683,0.33498526,0.9865051507949829,0.9865872263908386,0.21886998,0.2599061,0.9883071184158325,0.9878333806991577,0.25656688,0.29040712
0.557031,0.5879783,0.88788897,0.2571203,0.29991066,0.330858,0.9871184229850769,0.9869707822799683,0.21798056,0.26837128,0.9886873960494995,0.988129734992981,0.24744171,0.29289442
0.5567776,0.58840096,0.88578767,0.2593909,0.2973867,0.32901007,0.9864628911018372,0.9864031672477722,0.23365998,0.24402803,0.988219141960144,0.9876930117607117,0.26904315,0.28164035
0.5515399,0.5903903,0.8855723,0.2563579,0.295182,0.33403242,0.9866835474967957,0.9864883422851562,0.22023118,0.28422284,0.9885545969009399,0.9877769351005554,0.24975121,0.30305368
0.55946755,0.5845,0.88623893,0.2577287,0.30173886,0.32677132,0.9861628413200378,0.9868056774139404,0.23564196,0.24970847,0.9881762862205505,0.9880538582801819,0.2641707,0.28263295
0.55929077,0.5853733,0.8902242,0.25443983,0.30485094,0.33093345,0.9867357611656189,0.9867573380470276,0.2374056,0.276087,0.9882866740226746,0.9880271553993225,0.26734614,0.2917434
0.55464053,0.5850682,0.88780165,0.2519071,0.30273342,0.33316112,0.9866943955421448,0.986794650554657,0.21512187,0.24363458,0.9885932207107544,0.9880603551864624,0.25452906,0.28111088
0.570403,0.59047335,0.88965064,0.27122563,0.29917735,0.31924772,0.986724853515625,0.9868670105934143,0.23278785,0.26215142,0.9886451363563538,0.9881665110588074,0.26789093,0.28655636
0.55297685,0.5916741,0.8884134,0.2562375,0.29673934,0.33543658,0.9865783452987671,0.9864882230758667,0.23167902,0.2541468,0.9883347749710083,0.987856924533844,0.25808132,0.28502005
0.5444006,0.58012366,0.8848558,0.23966843,0.30473214,0.34045523,0.9862464070320129,0.9863905906677246,0.21650106,0.25961292,0.9881839156150818,0.9876925945281982,0.22436148,0.2879259
0.5596414,0.5926074,0.8901844,0.26206446,0.29757696,0.33054292,0.9865147471427917,0.9863306283950806,0.2263112,0.28716713,0.988226056098938,0.9874964356422424,0.263013,0.2994746
0.5562349,0.581843,0.88580453,0.25227344,0.30396146,0.32956958,0.9864720106124878,0.9870564341545105,0.23051673,0.24844176,0.9881768822669983,0.9882534742355347,0.27043474,0.28491712
0.5519315,0.58271414,0.887395,0.24725068,0.30468082,0.33546346,0.9868536591529846,0.9865545630455017,0.23184437,0.26085812,0.988654613494873,0.987945556640625,0.26022696,0.29085565
0.55497324,0.57940054,0.887782,0.2465918,0.30838144,0.33280873,0.9867944121360779,0.9862079620361328,0.22135329,0.2532009,0.988422691822052,0.9876010417938232,0.2557426,0.29201466
0.5567174,0.5851016,0.8857566,0.2560624,0.300655,0.32903922,0.9866334795951843,0.9865313768386841,0.23377776,0.27006823,0.9883528351783752,0.9878637194633484,0.25781602,0.29083014
0.5578022,0.59487516,0.88854027,0.26413703,0.29366517,0.33073813,0.9867706298828125,0.9865573048591614,0.23379517,0.27640337,0.9884642958641052,0.987843930721283,0.23258251,0.29410487
0.56497335,0.588807,0.8875108,0.26626956,0.2987038,0.32253742,0.9868044853210449,0.9864532947540283,0.2222861,0.2607594,0.9883744716644287,0.9877519011497498,0.2544282,0.28953546
0.5592141,0.5856658,0.8871844,0.25769556,0.30151856,0.32797027,0.9867404103279114,0.9864450097084045,0.23071122,0.24450982,0.988531768321991,0.9876644015312195,0.26759267,0.2828778
0.55548847,0.5864303,0.8873968,0.25452197,0.3009665,0.33190835,0.9863198399543762,0.9863609075546265,0.23794812,0.27812624,0.9882157444953918,0.9876941442489624,0.26652628,0.2938065
0.55648047,0.589939,0.8875324,0.2588871,0.29759336,0.3310519,0.9866662621498108,0.9866071939468384,0.22765881,0.26719487,0.9886938333511353,0.9879652857780457,0.2553844,0.29634792
0.55322456,0.5887761,0.8884975,0.2535032,0.29972136,0.3352729,0.9863663911819458,0.9863427877426147,0.22571725,0.25143605,0.9884396195411682,0.9876845479011536,0.25880134,0.29000825
0.5630778,0.5950501,0.89184636,0.26628155,0.29679626,0.32876855,0.9866085648536682,0.9867061972618103,0.23302066,0.27083206,0.9884503483772278,0.9878615736961365,0.2607348,0.29032034
