x1_score,x2_score,vp_joint_score,vp_shared_score,vp_x1_unique_score,vp_x2_unique_score,rm_x2_to_x1_score,rm_x1_to_x2_score,rm_x1_unique_score,rm_x2_unique_score,rm_ridge_x2_to_x1_score,rm_ridge_x1_to_x2_score,rm_ridge_x1_unique_score,rm_ridge_x2_unique_score
0.42889154,0.43605506,0.8914625,-0.026515901,0.45540744,0.46257097,0.9863584041595459,0.9860507845878601,0.4259162,0.42179286,0.9866676330566406,0.9863826036453247,0.43783277,0.44366813
0.43414193,0.44349915,0.89086044,-0.013219357,0.4473613,0.4567185,0.9860474467277527,0.9859434962272644,0.43693,0.4516096,0.986354649066925,0.9862372875213623,0.44455183,0.4549377
0.44483674,0.43135267,0.8931887,-0.016999304,0.46183604,0.44835198,0.9855944514274597,0.9853929877281189,0.44513875,0.43007696,0.9858993887901306,0.9857136607170105,0.45468384,0.44018728
0.42381108,0.44392228,0.89261603,-0.024882674,0.44869375,0.46880496,0.9858061075210571,0.9858546853065491,0.41198057,0.44155163,0.9860788583755493,0.9861919283866882,0.43264198,0.45264852
0.4237467,0.4346311,0.8917804,-0.033402562,0.45714927,0.46803367,0.9863789677619934,0.9862151741981506,0.4136141,0.42622942,0.9866804480552673,0.9865362644195557,0.43326867,0.4425295
0.44154817,0.44312972,0.89530593,-0.010628045,0.4521762,0.45375776,0.9858477711677551,0.9860473871231079,0.4564296,0.44783217,0.9861959218978882,0.9863544702529907,0.45520455,0.45485348
0.43239146,0.4410938,0.8931695,-0.019684255,0.45207572,0.46077806,0.9861783981323242,0.9861992597579956,0.43705118,0.44658828,0.9864387512207031,0.9864882230758667,0.44323808,0.45017165
0.43314087,0.42783445,0.8921619,-0.03118658,0.46432745,0.45902103,0.9853460788726807,0.9852184653282166,0.41444886,0.415403,0.9856696724891663,0.9855162501335144,0.4392594,0.43392742
0.43422568,0.42850924,0.8911585,-0.028423607,0.4626493,0.45693284,0.9861446022987366,0.986095130443573,0.42403293,0.41914612,0.9864395260810852,0.9864106774330139,0.44166005,0.43602264
0.42717612,0.43564135,0.8924552,-0.029637754,0.45681387,0.4652791,0.9857425689697266,0.9857404232025146,0.42280173,0.42446238,0.9860539436340332,0.9860195517539978,0.4355445,0.44458294
0.43601197,0.43127435,0.8917385,-0.02445215,0.46046412,0.4557265,0.9862986207008362,0.9861034154891968,0.42916924,0.43500996,0.9865955114364624,0.9864188432693481,0.44430608,0.4404598
0.43013096,0.4292543,0.8925284,-0.033143163,0.46327412,0.46239746,0.9858103394508362,0.9855848550796509,0.41738117,0.41757315,0.9861385226249695,0.985910952091217,0.4385199,0.43633497
0.43320554,0.43204558,0.8908867,-0.0256356,0.45884115,0.45768118,0.986070990562439,0.9856694936752319,0.42621088,0.42353857,0.9863724112510681,0.9859500527381897,0.44461775,0.44109166
0.43880516,0.43370306,0.8930057,-0.0204975,0.45930266,0.45420057,0.98583984375,0.9856081008911133,0.4289075,0.42611974,0.9861624240875244,0.985888659954071,0.445639,0.44332838
0.4253292,0.43844914,0.8904456,-0.026667237,0.45199645,0.46511638,0.9853180050849915,0.9852659702301025,0.41436982,0.43644387,0.9857019782066345,0.9856576323509216,0.43236327,0.4472915
0.43146038,0.43816054,0.89276767,-0.023146749,0.45460713,0.4613073,0.9856337308883667,0.985554039478302,0.42950606,0.42999578,0.9859309792518616,0.985869288444519,0.4431793,0.445679
0.43466002,0.42630875,0.8937646,-0.032795846,0.46745586,0.4591046,0.9856336116790771,0.9854801893234253,0.4320585,0.41387856,0.9859182834625244,0.9857827425003052,0.44392502,0.43498093
