x1_score,x2_score,vp_joint_score,vp_shared_score,vp_x1_unique_score,vp_x2_unique_score,rm_x2_to_x1_score,rm_x1_to_x2_score,rm_x1_unique_score,rm_x2_unique_score,rm_ridge_x2_to_x1_score,rm_ridge_x1_to_x2_score,rm_ridge_x1_unique_score,rm_ridge_x2_unique_score
0.6659458,0.8954786,0.89547867,0.6659458,0.0,0.22953278,0.9863584041595459,0.9860507845878601,-0.0005260706,0.20662373,0.9866676330566406,0.9863826036453247,-0.0026363134,0.215339
0.6591772,0.8921224,0.8921224,0.6591772,0.0,0.2329452,0.9860474467277527,0.9859434962272644,1.21593475e-05,0.21793866,0.986354649066925,0.9862372875213623,-0.0025120974,0.22333348
0.66546655,0.89383674,0.89383674,0.66546655,0.0,0.22837019,0.9855944514274597,0.9853929877281189,-0.00035464764,0.22019792,0.9858993887901306,0.9857136607170105,-0.0020469427,0.22270083
0.6572505,0.8947757,0.89452845,0.6574978,-0.00024729967,0.23727787,0.9858061075210571,0.9858546853065491,-0.00030755997,0.20292556,0.9860788583755493,0.9861919283866882,-0.002506733,0.21476477
0.65424395,0.8920146,0.8920147,0.6542439,5.9604645e-08,0.23777074,0.9863789677619934,0.9862151741981506,-4.518032e-05,0.20782793,0.9866804480552673,0.9865362644195557,-0.0021784306,0.21460456
0.66175556,0.89514136,0.89514136,0.66175556,0.0,0.2333858,0.9858477711677551,0.9860473871231079,0.0001373291,0.22504431,0.9861959218978882,0.9863544702529907,-0.0023225546,0.23111415
0.66023403,0.89347076,0.8933265,0.6603782,-0.00014418364,0.23309255,0.9861783981323242,0.9861992597579956,-2.193451e-05,0.2029103,0.9864387512207031,0.9864882230758667,-0.0027019978,0.21262401
0.66265535,0.8943191,0.89421034,0.6627641,-0.00010871887,0.23155504,0.9853460788726807,0.9852184653282166,-5.9962273e-05,0.20989245,0.9856696724891663,0.9855162501335144,-0.0020302534,0.21865785
0.6695166,0.89398855,0.89398855,0.6695166,0.0,0.22447193,0.9861446022987366,0.986095130443573,-0.0003207922,0.21532238,0.9864395260810852,0.9864106774330139,-0.00238657,0.21825159
0.6572169,0.8935638,0.8935638,0.65721697,-5.9604645e-08,0.23634684,0.9857425689697266,0.9857404232025146,-0.00016224384,0.19816267,0.9860539436340332,0.9860195517539978,-0.0026881695,0.21050966
0.6638762,0.89416504,0.89416504,0.6638762,0.0,0.23028886,0.9862986207008362,0.9861034154891968,0.00021988153,0.22336435,0.9865955114364624,0.9864188432693481,-0.0017940998,0.22765493
0.6700608,0.8968352,0.8968352,0.67006075,5.9604645e-08,0.22677445,0.9858103394508362,0.9855848550796509,-0.0005879402,0.2081545,0.9861385226249695,0.985910952091217,-0.0021926165,0.21552992
0.66378474,0.8952199,0.8952199,0.66378474,0.0,0.23143518,0.986070990562439,0.9856694936752319,-0.00016653538,0.20367616,0.9863724112510681,0.9859500527381897,-0.0026574135,0.21257198
0.66651547,0.89535695,0.89535695,0.6665155,-5.9604645e-08,0.22884142,0.98583984375,0.9856081008911133,-0.00012052059,0.19942409,0.9861624240875244,0.985888659954071,-0.002857089,0.21222115
0.6612235,0.8929353,0.8929353,0.6612234,5.9604645e-08,0.23171186,0.9853180050849915,0.9852659702301025,-0.00014615059,0.20597965,0.9857019782066345,0.9856576323509216,-0.002259612,0.2151379
0.6596103,0.89435965,0.8944804,0.65948945,0.000120818615,0.2348702,0.9856337308883667,0.985554039478302,-9.9658966e-05,0.20284903,0.9859309792518616,0.985869288444519,-0.0023156404,0.213476
0.66747546,0.89609396,0.89601624,0.6675532,-7.772446e-05,0.22854078,0.9856336116790771,0.9854801893234253,-0.00015211105,0.2124762,0.9859182834625244,0.9857827425003052,-0.0020468235,0.21706998
0.6623783,0.892738,0.892738,0.6623783,0.0,0.23035967,0.9859275221824646,0.985602617263794,-9.5009804e-05,0.19365942,0.9862103462219238,0.9859204292297363,-0.002098322,0.20348734
0.66449386,0.8967209,0.8967209,0.6644938,5.9604645e-08,0.23222709,0.9854543209075928,0.9855929017066956,-8.237362e-05,0.20392114,0.9858112931251526,0.9858995079994202,-0.0026049614,0.21578056
0.6635411,0.89256316,0.89262855,0.66347563,6.54459e-05,0.22908753,0.9858818650245667,0.9861866235733032,-0.00023174286,0.20158952,0.9862038493156433,0.9864373803138733,-0.0026530027,0.21051043
0.66738033,0.8955117,0.8955117,0.6673803,5.9604645e-08,0.22813141,0.9854316115379333,0.9858525991439819,-9.357929e-05,0.20660073,0.9857103824615479,0.9861958026885986,-0.0021429062,0.2157265
