x1_score,x2_score,vp_joint_score,vp_shared_score,vp_x1_unique_score,vp_x2_unique_score,rm_x2_to_x1_score,rm_x1_to_x2_score,rm_x1_unique_score,rm_x2_unique_score,rm_ridge_x2_to_x1_score,rm_ridge_x1_to_x2_score,rm_ridge_x1_unique_score,rm_ridge_x2_unique_score
0.31615353,0.6673205,0.8928951,0.09057891,0.22557461,0.5767416,0.9863584041595459,0.9860507845878601,0.20758307,0.52893317,0.9866676330566406,0.9863826036453247,0.21044225,0.5566957
0.320961,0.6699458,0.8925376,0.09836918,0.22259182,0.5715766,0.9860474467277527,0.9859434962272644,0.21642894,0.558632,0.986354649066925,0.9862372875213623,0.2197693,0.5661783
0.32950026,0.66141,0.8938727,0.097037554,0.2324627,0.5643724,0.9855944514274597,0.9853929877281189,0.22049761,0.54594654,0.9858993887901306,0.9857136607170105,0.22601259,0.5577854
0.30684257,0.670001,0.89353824,0.0833053,0.22353727,0.5866957,0.9858061075210571,0.9858546853065491,0.20167518,0.5409527,0.9860788583755493,0.9861919283866882,0.20992255,0.5629835
0.30499732,0.6625421,0.8917819,0.0757575,0.22923982,0.5867846,0.9863789677619934,0.9862151741981506,0.19679111,0.53366315,0.9866804480552673,0.9865362644195557,0.2078861,0.55723596
0.3273384,0.66943765,0.8956273,0.101148725,0.22618967,0.5682889,0.9858477711677551,0.9860473871231079,0.22697347,0.55863905,0.9861959218978882,0.9863544702529907,0.22522426,0.57155675
0.3158837,0.66803664,0.8931797,0.09074062,0.22514307,0.577296,0.9861783981323242,0.9861992597579956,0.21845347,0.5441954,0.9864387512207031,0.9864882230758667,0.21956855,0.5596125
0.31323802,0.65927637,0.8919109,0.08060348,0.23263454,0.5786729,0.9853460788726807,0.9852184653282166,0.1924581,0.5296128,0.9856696724891663,0.9855162501335144,0.20892382,0.55565786
0.3243028,0.6627179,0.892355,0.09466565,0.22963715,0.56805223,0.9861446022987366,0.986095130443573,0.20348758,0.5322288,0.9864395260810852,0.9864106774330139,0.21379119,0.5526587
0.3063705,0.6629597,0.892176,0.07715422,0.22921628,0.5858055,0.9857425689697266,0.9857404232025146,0.2041362,0.5254157,0.9860539436340332,0.9860195517539978,0.20972443,0.55564106
0.3255009,0.66315174,0.89358175,0.0950709,0.23043,0.56808084,0.9862986207008362,0.9861034154891968,0.21380359,0.5489388,0.9865955114364624,0.9864188432693481,0.21138489,0.55725265
0.3165524,0.6624921,0.89344245,0.085602045,0.23095036,0.57689005,0.9858103394508362,0.9855848550796509,0.19977808,0.5290642,0.9861385226249695,0.985910952091217,0.20849138,0.5524038
0.318348,0.663854,0.8926162,0.08958578,0.22876221,0.5742682,0.986070990562439,0.9856694936752319,0.20748597,0.5268441,0.9863724112510681,0.9859500527381897,0.20968103,0.55299795
0.32098663,0.66136336,0.89285326,0.08949673,0.2314899,0.57186663,0.98583984375,0.9856081008911133,0.2055788,0.52874786,0.9861624240875244,0.985888659954071,0.2145077,0.5550319
0.30630141,0.66553307,0.8903763,0.08145815,0.22484326,0.5840749,0.9853180050849915,0.9852659702301025,0.19220877,0.5434321,0.9857019782066345,0.9856576323509216,0.20238888,0.56333023
0.31616127,0.6664158,0.8924929,0.090084195,0.22607708,0.5763316,0.9856337308883667,0.985554039478302,0.21130693,0.53,0.9859309792518616,0.985869288444519,0.21907735,0.55484885
