x1_score,x2_score,vp_joint_score,vp_shared_score,vp_x1_unique_score,vp_x2_unique_score,rm_x2_to_x1_score,rm_x1_to_x2_score,rm_x1_unique_score,rm_x2_unique_score,rm_ridge_x2_to_x1_score,rm_ridge_x1_to_x2_score,rm_ridge_x1_unique_score,rm_ridge_x2_unique_score
0.89443237,-0.00393939,0.893754,-0.0032610297,0.8976934,-0.00067836046,0.9863584041595459,0.9860507845878601,0.8509307,-0.00025856495,0.9866676330566406,0.9863826036453247,0.89545614,-0.0018053055
0.89169216,-0.004442215,0.89111423,-0.0038642883,0.89555645,-0.00057792664,0.9860474467277527,0.9859434962272644,0.8467033,-0.00030088425,0.986354649066925,0.9862372875213623,0.8920966,-0.0019533634
0.8963508,-0.004530072,0.8957166,-0.0038958788,0.9002467,-0.0006341934,0.9855944514274597,0.9853929877281189,0.8528663,-0.00016212463,0.9858993887901306,0.9857136607170105,0.8972684,-0.0022261143
0.89249986,-0.004539728,0.89183426,-0.003874123,0.896374,-0.00066560507,0.9858061075210571,0.9858546853065491,0.84280604,-0.00030612946,0.9860788583755493,0.9861919283866882,0.8931443,-0.0021904707
0.8936286,-0.004969001,0.89259046,-0.0039308667,0.89755946,-0.0010381341,0.9863789677619934,0.9862151741981506,0.85048544,-9.894371e-05,0.9866804480552673,0.9865362644195557,0.8945417,-0.0023642778
0.89502084,-0.004744053,0.89431363,-0.004036844,0.8990577,-0.0007072091,0.9858477711677551,0.9860473871231079,0.8531288,-0.00024294853,0.9861959218978882,0.9863544702529907,0.8955182,-0.0026706457
0.8934136,-0.004168272,0.8924656,-0.0032202601,0.89663386,-0.0009480119,0.9861783981323242,0.9861992597579956,0.84543645,-2.849102e-05,0.9864387512207031,0.9864882230758667,0.8933173,-0.0021320581
0.89513594,-0.005010605,0.89421743,-0.0040920973,0.89922804,-0.0009185076,0.9853460788726807,0.9852184653282166,0.85052717,7.8737736e-05,0.9856696724891663,0.9855162501335144,0.89580315,-0.0025918484
0.8937382,-0.004506588,0.8924618,-0.0032301545,0.89696836,-0.0012764335,0.9861446022987366,0.986095130443573,0.84816605,-0.00017213821,0.9864395260810852,0.9864106774330139,0.89457154,-0.0022159815
0.89391494,-0.004526496,0.89322805,-0.003839612,0.89775455,-0.0006868839,0.9857425689697266,0.9857404232025146,0.8519016,-0.00045096874,0.9860539436340332,0.9860195517539978,0.89471143,-0.0019379854
