x1_score,x2_score,vp_joint_score,vp_shared_score,vp_x1_unique_score,vp_x2_unique_score,rm_x2_to_x1_score,rm_x1_to_x2_score,rm_x1_unique_score,rm_x2_unique_score,rm_ridge_x2_to_x1_score,rm_ridge_x1_to_x2_score,rm_ridge_x1_unique_score,rm_ridge_x2_unique_score
0.60372424,0.32201177,0.8926896,0.033046424,0.5706778,0.28896534,0.9863584041595459,0.9860507845878601,0.5335787,0.26339757,0.9866676330566406,0.9863826036453247,0.55141675,0.2732427
0.60552084,0.32877034,0.891993,0.042298198,0.56322265,0.28647214,0.9860474467277527,0.9859434962272644,0.5413491,0.2932846,0.986354649066925,0.9862372875213623,0.5564854,0.28568858
0.6159332,0.31754637,0.8936939,0.039785624,0.57614756,0.27776074,0.9855944514274597,0.9853929877281189,0.5499052,0.27696317,0.9858993887901306,0.9857136607170105,0.56627655,0.27355385
0.5966197,0.32546026,0.89225143,0.029828548,0.5667912,0.2956317,0.9858061075210571,0.9858546853065491,0.5215682,0.27667022,0.9860788583755493,0.9861919283866882,0.54856503,0.27979666
0.59684956,0.31479686,0.89122564,0.02042079,0.5764288,0.29437608,0.9863789677619934,0.9862151741981506,0.5191374,0.2652905,0.9866804480552673,0.9865362644195557,0.54790306,0.27122587
0.6108324,0.32855427,0.8954317,0.04395497,0.5668774,0.2845993,0.9858477711677551,0.9860473871231079,0.55428874,0.29657412,0.9861959218978882,0.9863544702529907,0.56205404,0.2899133
0.6050872,0.32533276,0.89292,0.037499964,0.56758726,0.2878328,0.9861783981323242,0.9861992597579956,0.54360366,0.283422,0.9864387512207031,0.9864882230758667,0.5585754,0.27808493
0.60417175,0.30734122,0.89190143,0.019611537,0.5845602,0.28772968,0.9853460788726807,0.9852184653282166,0.51531076,0.25806266,0.9856696724891663,0.9855162501335144,0.55202854,0.26579565
0.60928655,0.31694382,0.8920437,0.03418666,0.5750999,0.28275716,0.9861446022987366,0.986095130443573,0.5269687,0.26392984,0.9864395260810852,0.9864106774330139,0.554111,0.26823914
0.5996773,0.315377,0.89197874,0.02307558,0.57660174,0.29230142,0.9857425689697266,0.9857404232025146,0.5299262,0.26037562,0.9860539436340332,0.9860195517539978,0.5516969,0.27132428
0.60902643,0.31930536,0.89221513,0.03611666,0.5729098,0.2831887,0.9862986207008362,0.9861034154891968,0.5382581,0.2798937,0.9865955114364624,0.9864188432693481,0.5575944,0.2736779
0.60463303,0.3141817,0.89287186,0.025942862,0.5786902,0.28823882,0.9858103394508362,0.9855848550796509,0.5216439,0.26037377,0.9861385226249695,0.985910952091217,0.5499119,0.26736236
0.6073172,0.31848723,0.8926953,0.03310913,0.5742081,0.2853781,0.986070990562439,0.9856694936752319,0.5315139,0.2632321,0.9863724112510681,0.9859500527381897,0.5571207,0.27088827
0.60892487,0.31724834,0.8930192,0.03315401,0.57577085,0.28409433,0.98583984375,0.9856081008911133,0.5281526,0.26657212,0.9861624240875244,0.985888659954071,0.55595887,0.27489
0.5955647,0.31624478,0.88947606,0.022333443,0.5732313,0.29391134,0.9853180050849915,0.9852659702301025,0.5113497,0.27663642,0.9857019782066345,0.9856576323509216,0.54288507,0.27730697
0.6048255,0.32410443,0.8931555,0.03577441,0.5690511,0.28833002,0.9856337308883667,0.985554039478302,0.53854305,0.26680493,0.9859309792518616,0.985869288444519,0.557492,0.27361965
0.60988736,0.31185037,0.8943375,0.027400255,0.5824871,0.2844501,0.9856336116790771,0.9854801893234253,0.5421689,0.25759816,0.9859182834625244,0.9857827425003052,0.5592983,0.2652908
