semantic\moten,joint\moten
0.025378924172520845,0.025378924172520845
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.05493715317289199,0.05493715317289198
0.0,0.0
0.008141896258263955,0.008141896258263953
0.013756667838088835,0.013756667838088842
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.013530994621370343,0.013530994621370406
0.0,0.0
0.07793584339432118,0.07793584339432116
0.0,0.0
0.0,0.0
0.08810123812168982,0.08810123812168981
0.008397770039156087,0.008397770039156089
0.04692798790888514,0.04692798790888514
0.07430821298526491,0.07430821298526491
0.02328424208057271,0.02328424208057271
0.02139165904843826,0.02139165904843826
0.01058485884826709,0.010584858848267095
0.0,0.0
0.018016460724439225,0.018016460724439215
0.0217209428781852,0.021720942878185198
0.026290369911562535,0.026290369911562517
0.0,0.0
0.024228459994165227,0.024228459994165227
0.002195834413041989,0.002195834413042137
0.07329886791153359,0.07329886791153359
0.008031387365079657,0.008031387365079636
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.048290088633010764,0.048290088633010764
0.026584350280993797,0.026584350280993797
0.0,0.0
0.0,0.0
0.0,0.0
0.01826247992923515,0.01826247992923515
0.0,0.0
0.13237862863392244,0.13237862863392244
0.0606754584151016,0.0606754584151016
0.0,0.0
0.0,0.0
0.016636967258439165,0.016636967258439165
0.02374804020196432,0.023748040201964315
0.0,0.0
0.0,0.0
0.03430151881950677,0.03430151881950677
0.008831784133606182,0.00883178413360617
0.0,0.0
0.0,0.0
0.0,0.0
0.10010604746752651,0.10010604746752651
0.0,0.0
0.03280762540116439,0.032807625401164386
0.02146368022614104,0.021463680226141046
0.0,0.0
0.0,0.0
0.0,0.0
0.015769193083843558,0.015769193083843572
0.0,0.0
0.03639513266572082,0.03639513266572083
0.0,0.0
0.0,0.0
0.016571582861937946,0.016571582861937974
0.0,0.0
0.015159755495789623,0.015159755495789632
0.04111334291517166,0.04111334291517166
0.03355397220893242,0.03355397220893242
0.033212728576776034,0.033212728576776034
0.0208584335208161,0.0208584335208161
0.010153840953702366,0.01015384095370239
0.03252213871078313,0.032522138710783126
0.024808375945318074,0.024808375945318074
0.0,0.0
0.0,0.0
0.04386795268814971,0.04386795268814971
0.0,0.0
0.01828587055379139,0.01828587055379139
0.007503307640343209,0.007503307640343208
0.011439271438577092,0.011439271438577089
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0829786413494569,0.0829786413494569
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.018437534165664855,0.018437534165664852
0.1388944750319374,0.1388944750319374
0.06831198471023422,0.06831198471023424
0.0,0.0
0.0,0.0
0.0,0.0
0.04443050264976533,0.04443050264976533
0.007899700228355786,0.007899700228355767
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.037216138283627534,0.03721613828362753
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.025399462581501938,0.025399462581501938
0.014427513050617942,0.014427513050617942
0.0,0.0
0.06798925220334456,0.06798925220334458
0.0,0.0
0.0,0.0
0.0,0.0
0.018535517906310996,0.01853551790631101
0.09049464070255236,0.09049464070255238
0.00918643584792154,0.009186435847921542
0.01630930133240796,0.016309301332407912
0.0,0.0
0.04496507726718455,0.04496507726718455
0.0,0.0
0.08191860989806528,0.08191860989806528
0.0,0.0
0.0,0.0
0.010688706380365755,0.010688706380365757
0.0,0.0
0.01861204236003088,0.01861204236003089
0.0,0.0
0.0,0.0
0.0,0.0
0.03561927015076377,0.03561927015076377
0.0,0.0
0.0,0.0
0.025241012639492313,0.025241012639492296
0.0,0.0
0.0,0.0
0.036041701597356396,0.036041701597356396
0.0837962320660693,0.0837962320660693
0.0,0.0
0.03670858418505422,0.03670858418505422
0.013276244663443897,0.013276244663443905
0.04745220774788286,0.04745220774788286
0.0,0.0
0.0,0.0
0.0,0.0
0.08435305411944587,0.08435305411944587
0.0,0.0
0.025101848978685466,0.025101848978685466
0.0,0.0
0.027447212956387253,0.02744721295638726
0.02537411340865573,0.02537411340865573
0.0,0.0
0.0,0.0
0.0532631454130193,0.0532631454130193
0.0,0.0
