,correlation_score,r2_score,p_value
0,,0.0,
1,,0.0,
2,,0.0,
3,,0.0,
4,,0.0,
5,,0.0,
6,,0.0,
7,,0.0,
8,,0.0,
9,,0.0,
10,,0.0,
11,,0.0,
12,,0.0,
13,,0.0,
14,,0.0,
15,,0.0,
16,,0.0,
17,,0.0,
18,,0.0,
19,,0.0,
20,,0.0,
21,,0.0,
22,,0.0,
23,,0.0,
24,,0.0,
25,,0.0,
26,,0.0,
27,,0.0,
28,,0.0,
29,,0.0,
30,,0.0,
31,,0.0,
32,,0.0,
33,,0.0,
34,,0.0,
35,,0.0,
36,,0.0,
37,,0.0,
38,,0.0,
39,,0.0,
40,,0.0,
41,-0.018040752252029155,0.0,0.7532793172404635
42,-0.012820949949542871,-0.0016528368,0.8232504104612377
43,0.01799590634595926,-0.00023651123,0.7538728549583048
44,-0.01844320783081653,-0.002623558,0.7479593287663708
45,0.11155310449049213,-1.1920929e-07,0.05123756585663267
46,-0.022910777360713775,-0.0025731325,0.689755355861676
47,0.052411633519560526,0.00032901764,0.3608718650287429
48,0.15775612347381623,0.024155676,0.005680956277871019
49,0.1862979925952716,0.030888915,0.0010594015287462152
50,0.03246758277052703,0.00097346306,0.5715464072592441
51,-0.04150196240846767,-0.004406333,0.4694781974239949
52,-0.015972553765505812,-0.013794422,0.7807975671252219
53,0.04372566030577375,-0.0014455318,0.44598789675502015
54,0.07777978732218094,0.003354013,0.17475616631148122
55,0.058642905671331444,0.0031909347,0.30653782056530476
56,0.012033422220952017,-0.0018724203,0.8339447491882745
57,0.03499160961257493,0.0,0.5420043609388078
58,-0.03252307715632385,-0.00030207634,0.5708887724322977
59,-0.038899535994005,-0.0043462515,0.4978124647375959
60,0.0376454667129268,0.0,0.5117828274136671
61,0.027408825939278413,1.1920929e-07,0.6329448181297668
62,0.0019631051247591185,-0.0012360811,0.9727178227982753
63,-0.004579724929537396,-0.003150344,0.9364082450914623
64,0.14456375385112816,0.01933968,0.011347992644321759
65,-0.05897680154232872,-1.1920929e-07,0.3037872167735199
66,0.03986040033395973,0.0,0.4872466681585993
67,-0.00118307171425426,0.0,0.983556275954582
68,0.0021469435923862352,0.0,0.9701640693616476
69,-0.014402087258447386,-0.0040786266,0.801879387457883
70,-0.009722448048530844,-0.005084276,0.8654967074667974
71,-0.055138430625411135,-0.006475568,0.3363950046307683
72,0.04397092503861535,0.0019311309,0.44343844163933155
73,-0.010074091244836148,-0.0021708012,0.860680603504727
74,-0.009875419425017351,-9.1671944e-05,0.8634009903213632
75,0.009076916937475936,-0.001388073,0.8743507231440757
76,0.004364106463192215,-0.0009562969,0.9393963369946277
77,-0.03469154698680945,-0.00034165382,0.5454763224615182
78,0.008417431972701634,0.0,0.8834123146214452
79,-0.024905457722567057,-0.005180955,0.6643234006542447
80,0.002272257688191337,-0.017665505,0.9684234678106147
81,0.00936985918128857,-0.00035631657,0.8703307588567062
82,0.16239634467951322,0.0076758265,0.004398400985081346
83,0.08326614458489845,0.004679799,0.1461887877627709
84,0.015049806825206513,-0.00079739094,0.7931660985686139
85,-0.02124442250270263,-0.0030417442,0.7112733685284027
86,-0.036163785725464644,-0.018197417,0.5285473716130105
87,-0.02216846146150794,-0.0028585196,0.6993114699794472
88,-0.07227532724856557,-0.009232163,0.20738921875750618
89,-0.030801507955956518,-0.0045087337,0.5914551316628623
90,-0.04377911439521041,-0.00064098835,0.4454315502779924
91,-0.007425086976318656,-0.00012910366,0.8970758211592054
92,0.0445330164321987,0.0005328655,0.43762702714169177
93,0.0483591802122994,0.0,0.39924448145743496
94,0.012900423481969065,-0.00024569035,0.8221729662505226
95,0.024664049827322915,0.00045460463,0.6673816629567961
96,-0.015034821935520273,-0.0026369095,0.7933673935994595
97,0.07285981717335825,0.003386259,0.2037286742422976
98,-0.0835184427496531,-0.0071840286,0.1449661709289273
99,-0.03355180688710024,-0.0064857006,0.5587632372885305
100,0.06200922227905121,0.0033941865,0.27955484092842786
101,-0.030638535323386274,-0.00039064884,0.5934194748596702
102,-0.0009963083521761045,-0.0020602942,0.986151849428989
103,0.003319493988418673,-0.0014817715,0.9538840911203754
104,0.0031030029616024935,-0.0031431913,0.9568886664193502
105,0.01718009015679094,-0.0006504059,0.7646951580674
106,-0.022402342898940133,-0.0037076473,0.696295421767316
107,0.041243517223651396,-1.1920929e-07,0.47225177868109247
108,0.06705041484362947,0.002637148,0.24223470906366984
109,0.14653140851992044,0.020276368,0.010269193121935642
110,-0.008292705392791219,-8.165836e-05,0.8851278537472356
111,-0.008640876907687285,-1.1920929e-07,0.8803403290208129
112,-0.01185199842080534,0.0,0.8364128322808253
113,0.050789873862139144,-0.0010789633,0.3759434437713757
114,0.07894277126372705,0.0045859814,0.1683783145465205
115,0.013125177381661524,8.4757805e-05,0.8191277289516241
116,-0.06872299188910524,-0.005220771,0.2306605878106996
117,-0.011618179713720141,-0.0019357204,0.8395960554540863
118,-0.0314835126138239,-0.0033589602,0.5832672282088064
119,-0.08123297798400442,-0.005176902,0.15632956633249337
120,-0.0005830144002709068,-0.001273632,0.9918961469804748
121,0.009133642231849802,-0.0009518862,0.8735720425282794
122,0.09492198685708035,0.008787572,0.09743758383292705
123,-0.024453804155444674,-0.0014311075,0.6700496368901276
124,0.06301971696167868,0.0026696324,0.2717786284202853
125,0.035836711752298814,2.9683113e-05,0.5322851998724076
126,0.03184174714127409,0.0,0.578987562825672
127,0.020673375316239015,0.0002782941,0.7187014526458639
128,0.04284309796938598,0.00030767918,0.4552302864586961
129,0.020191531298348508,0.00029695034,0.7249898693503933
130,0.059214118682104126,0.0032137632,0.3018421699548221
131,-0.0018184138091777097,-0.012149215,0.974727968850967
132,0.017927572314579834,0.0,0.7547775373082122
133,0.1270893729891409,0.0057649016,0.026210461100687973
134,0.05960191186521974,0.003017664,0.29868161278658517
135,0.01734005220669793,0.0,0.7625694817106772
136,-0.05552751815525392,-0.0077250004,0.33299111977758533
137,-0.02752806956453374,-0.0056664944,0.6314658590397444
138,-0.004637261194356214,-0.0017671585,0.9356110427481831
139,-0.04490014113539066,-0.005838752,0.4338550170272303
140,-0.06677272947764641,-0.024928212,0.2441949453699437
141,-0.06427936209329747,-0.008837819,0.2622932526265192
142,-0.07460387977552675,-0.03722036,0.19308454711045747
143,-0.050363840233429956,-0.007950425,0.37996595722235127
144,0.029934098050927994,0.00069344044,0.601944190295977
145,0.12608909458430403,0.0062084794,0.02742319904874361
146,0.12774966500319815,0.0,0.025435441173262407
147,0.04336078889090315,0.00033211708,0.4497959553506765
148,0.02194999655084341,-1.1920929e-07,0.7021329845376588
149,0.0036751559455726153,1.31726265e-05,0.9489494642926704
150,-0.02200421150524882,-0.00028824806,0.7014324054195462
151,0.0037846337675625417,-0.0017626286,0.9474308990835258
152,0.03355289379203525,0.0008016825,0.5587504921649883
