x1_score,x2_score,vp_joint_score,vp_shared_score,vp_x1_unique_score,vp_x2_unique_score,rm_x2_to_x1_score,rm_x1_to_x2_score,rm_x1_unique_score,rm_x2_unique_score
0.65607363,0.6448937,0.99719167,0.30377567,0.35229796,0.34111804,0.9878024458885193,0.9901453256607056,0.31675,0.38475758
0.6182881,0.6617054,0.99602544,0.2839681,0.33432,0.37773728,0.9830520749092102,0.9862575531005859,0.23873782,0.2703269
0.64845234,0.72754204,0.99817735,0.3778171,0.27063525,0.34972495,0.9813618659973145,0.9849058985710144,0.41026813,0.38751107
0.6585557,0.674923,0.99730647,0.33617222,0.32238346,0.33875078,0.9831627607345581,0.9795999526977539,0.25060403,0.32473874
0.6053965,0.5590991,0.9961579,0.1683377,0.4370588,0.39076138,0.9920347929000854,0.990259051322937,0.16742694,0.28115642
0.5994722,0.6259806,0.9946956,0.2307573,0.36871493,0.39522332,0.9863414764404297,0.9868742227554321,0.26901245,0.19251901
0.5961585,0.5733079,0.9956104,0.17385596,0.42230254,0.3994519,0.9874057173728943,0.9865474104881287,0.2568096,0.09491074
0.63621426,0.55977285,0.9964492,0.19953793,0.43667632,0.36023492,0.9775958061218262,0.9798527956008911,0.24747944,0.23938912
0.6153109,0.5656708,0.99680465,0.18417698,0.43113393,0.3814938,0.9873542189598083,0.9842618107795715,0.35690534,0.15727955
0.57459366,0.5608063,0.99617076,0.13922918,0.43536448,0.4215771,0.9865067601203918,0.9861806631088257,0.26762092,0.21580493
0.62433547,0.6074594,0.9962333,0.23556155,0.38877392,0.37189788,0.9866592288017273,0.9833935499191284,0.15028697,0.33063012
0.6880422,0.57988346,0.9961913,0.27173442,0.4163078,0.30814904,0.9908039569854736,0.9867914319038391,0.42573434,0.17467445
0.7013221,0.60901034,0.9967984,0.31353402,0.38778806,0.29547632,0.9888497591018677,0.9861259460449219,0.30346155,0.30694693
0.53670955,0.58284485,0.9955345,0.12401992,0.41268963,0.45882493,0.9847859740257263,0.9832966327667236,0.31011117,0.22303599
0.7263963,0.6059418,0.996661,0.3356771,0.39071923,0.2702647,0.9827998280525208,0.9872193336486816,0.36907256,0.26180315
0.6030313,0.6940484,0.9973218,0.2997579,0.30327338,0.3942905,0.9809346199035645,0.9763087630271912,0.30283928,0.30662054
0.5654391,0.6219312,0.9961551,0.19121522,0.3742239,0.43071598,0.9826104044914246,0.9836224317550659,0.29907972,0.27561444
0.62497693,0.6470152,0.9963131,0.2756791,0.34929782,0.3713361,0.986354410648346,0.9863940477371216,0.25677884,0.35233355
0.65361834,0.7502529,0.99766815,0.40620315,0.24741518,0.34404975,0.9841122627258301,0.9817892909049988,0.20578218,0.43012965
0.55700815,0.58322614,0.99630684,0.1439274,0.41308075,0.43929875,0.9826249480247498,0.9808892011642456,0.07223153,0.15479082
0.5808137,0.675798,0.99672544,0.25988626,0.32092744,0.41591173,0.9851115345954895,0.9860025644302368,0.23317385,0.26662713
0.6892297,0.61866504,0.99613166,0.31176305,0.37746668,0.306902,0.9855533242225647,0.9888577461242676,0.37112343,0.33126092
0.6081674,0.61630917,0.99791175,0.22656482,0.3816026,0.38974434,0.9896395206451416,0.986876904964447,0.38480592,0.38409233
0.70406705,0.66940695,0.99682367,0.37665033,0.32741672,0.29275662,0.9811154007911682,0.9846271872520447,0.43327737,0.3275838
0.5257477,0.70291257,0.9967129,0.23194742,0.2938003,0.47096515,0.9777107834815979,0.9773262143135071,0.08978099,0.43550426
0.61782956,0.49153596,0.99710786,0.1122576,0.50557196,0.37927836,0.9863641858100891,0.9853535890579224,0.21679163,0.2021414
0.705634,0.68289244,0.9961328,0.39239365,0.31324035,0.2904988,0.987998902797699,0.986690878868103,0.3752479,0.23202235
0.6936768,0.5768198,0.99691045,0.27358615,0.42009068,0.30323362,0.9872609376907349,0.9860314130783081,0.39505535,0.23310024
0.6067652,0.65903497,0.9974147,0.26838553,0.33837968,0.39064944,0.9806923270225525,0.9841447472572327,0.16791224,0.43940556
0.5379908,0.642325,0.9962559,0.18405986,0.35393095,0.45826513,0.9864402413368225,0.9873278141021729,0.31808943,0.29924113
0.6161412,0.6547289,0.99701273,0.27385736,0.34228384,0.38087153,0.9842780828475952,0.982651948928833,0.22849941,0.46042037
0.61438704,0.67964894,0.9964717,0.2975642,0.31682283,0.38208473,0.9885773658752441,0.9853910207748413,0.34041345,0.2722664
0.621644,0.5791179,0.99630606,0.20445585,0.41718817,0.37466204,0.9893024563789368,0.9928349852561951,0.16770446,0.038111985
0.76265156,0.6171478,0.9974351,0.38236427,0.3802873,0.23478353,0.9841713905334473,0.9858047366142273,0.39498585,0.2435981
0.6430932,0.6157315,0.99674726,0.26207745,0.38101578,0.35365403,0.9869751930236816,0.9874531626701355,0.28506786,0.35877508
0.6143844,0.5649463,0.99648666,0.18284404,0.43154037,0.38210225,0.9878940582275391,0.9870476722717285,0.21599329,0.253223
0.6392941,0.6175376,0.9963684,0.26046324,0.37883085,0.35707438,0.985994279384613,0.9852180480957031,0.4360267,0.23016852
0.65245813,0.67397773,0.9967891,0.3296467,0.32281142,0.34433103,0.9773427248001099,0.9803683161735535,0.16864824,0.29703695
0.6109652,0.7133069,0.99715376,0.3271184,0.2838468,0.3861885,0.9850291013717651,0.9864898920059204,0.31272376,0.41859734
0.5618707,0.67225695,0.9970065,0.23712116,0.32474953,0.43513578,0.9813463091850281,0.9838565587997437,0.24906254,0.20928353
0.5601586,0.5630388,0.9960916,0.12710583,0.43305278,0.435933,0.9894097447395325,0.9893653988838196,0.0795756,0.14063269
0.7544575,0.75990987,0.99678695,0.5175804,0.23687708,0.24232948,0.9815286993980408,0.9823473691940308,0.4362448,0.27661437
0.67792976,0.7108538,0.99721384,0.39156973,0.28636003,0.31928408,0.9805609583854675,0.9834728837013245,0.39589667,0.21631175
0.70936406,0.67247343,0.99583316,0.38600433,0.32335973,0.2864691,0.9903174638748169,0.9875946640968323,0.28962082,0.31922895
0.68272924,0.6350044,0.9962511,0.32148254,0.3612467,0.31352186,0.9827432632446289,0.984347403049469,0.42572773,0.2699718
0.65584975,0.66706413,0.99712414,0.32578975,0.33006,0.34127438,0.9759214520454407,0.9812633395195007,0.36543304,0.31594557
0.6268676,0.5028556,0.99663216,0.13309103,0.49377656,0.36976457,0.9889806509017944,0.989902913570404,0.33289033,0.13197517
0.5575774,0.6818958,0.99718356,0.24228954,0.31528783,0.43960625,0.9892075657844543,0.9849398136138916,0.2730623,0.30779696
0.56099427,0.6459608,0.99630684,0.21064824,0.35034603,0.43531257,0.9898974895477295,0.9890170693397522,0.19562972,0.25702965
0.7336318,0.65540457,0.9972702,0.3917662,0.3418656,0.26363838,0.9900395274162292,0.9874527454376221,0.46506,0.24051613
0.6352128,0.6211312,0.9966407,0.25970328,0.3755095,0.3614279,0.9898282885551453,0.9881141185760498,0.22296125,0.35077822
