x1_score,x2_score,vp_joint_score,vp_shared_score,vp_x1_unique_score,vp_x2_unique_score,rm_x2_to_x1_score,rm_x1_to_x2_score,rm_x1_unique_score,rm_x2_unique_score,rm_ridge_x2_to_x1_score,rm_ridge_x1_to_x2_score,rm_ridge_x1_unique_score,rm_ridge_x2_unique_score
0.58868396,0.5939069,0.89599055,0.2866003,0.30208367,0.3073066,0.9856542348861694,0.9861780405044556,0.29685372,0.288781,0.9858790040016174,0.9863788485527039,0.2986827,0.29595035
0.592872,0.59297174,0.8974913,0.28835243,0.3045196,0.3046193,0.9858450293540955,0.9857780337333679,0.2819128,0.30072516,0.9860594272613525,0.9860017895698547,0.28916067,0.29999602
0.5799118,0.586071,0.8921603,0.27382255,0.30608928,0.31224847,0.9858524203300476,0.985800564289093,0.27569717,0.2789122,0.986091673374176,0.9860216975212097,0.28833562,0.28804177
0.5860079,0.5963708,0.8935825,0.28879625,0.29721165,0.30757457,0.9859666228294373,0.9857739210128784,0.2992186,0.30037045,0.9862043261528015,0.9859707355499268,0.2948329,0.30073726
0.58751106,0.59115565,0.8982838,0.28038293,0.30712813,0.31077272,0.9860321879386902,0.9861119389533997,0.2747448,0.30867726,0.9862402081489563,0.9862844347953796,0.2833057,0.3074082
0.58759415,0.5865319,0.89303476,0.28109127,0.30650288,0.3054406,0.9864715337753296,0.9862300753593445,0.28052992,0.28995627,0.9866793751716614,0.9864686727523804,0.28703004,0.29434907
0.58319366,0.5830599,0.89208317,0.2741704,0.30902326,0.3088895,0.9862963557243347,0.9861863851547241,0.28512412,0.29030854,0.9864657521247864,0.9863958358764648,0.29022497,0.2950412
0.5914985,0.59433234,0.8956064,0.29022443,0.30127406,0.3041079,0.9859403371810913,0.986020565032959,0.29373068,0.2940058,0.9861578941345215,0.9862414598464966,0.29632485,0.29725814
0.5910576,0.58266926,0.89399296,0.27973384,0.31132376,0.30293542,0.9862749576568604,0.9863893389701843,0.27793413,0.28281206,0.9865034222602844,0.9865527153015137,0.2893678,0.28679538
0.59040445,0.58816373,0.89457464,0.28399348,0.30641097,0.30417025,0.9859775900840759,0.9859055280685425,0.28687972,0.25960273,0.9861820936203003,0.9860978126525879,0.29101104,0.27402276
