,correlation_score,r2_score,p_value
0,,0.0,
1,,0.0,
2,,0.0,
3,,0.0,
4,,0.0,
5,,0.0,
6,,0.0,
7,,0.0,
8,,0.0,
9,,0.0,
10,,0.0,
11,,0.0,
12,,0.0,
13,,0.0,
14,,0.0,
15,,0.0,
16,,0.0,
17,,0.0,
18,,0.0,
19,,0.0,
20,,0.0,
21,,0.0,
22,,0.0,
23,-0.07390254369098431,-0.0013865232,0.20876217334388805
24,-0.0074975099023776234,0.0,0.8986639825649319
25,0.10781550377028373,0.0069194436,0.06626367362661546
26,0.11987395667076801,0.008613408,0.04100599792264726
27,-0.009438421854062719,-0.002064705,0.8726305779131679
28,0.04690299763791179,0.0021806955,0.4253927813963503
29,0.0839759719135999,0.0012053251,0.15303810740492899
30,0.06276000080159823,0.0038645267,0.28594938680412596
31,0.011606062340920658,0.0,0.8437186884122327
32,0.03432959956216317,0.00043594837,0.5597112028541333
33,0.04600101459512188,0.0005595088,0.4343585728444913
34,0.061301090982421876,0.0007445812,0.29731993228358583
35,0.010514411988972032,-0.0007659197,0.8582554185302704
36,-0.03239132832338645,-0.0066844225,0.5820993052344404
37,0.018289178346971968,-0.00020706654,0.7560490883656467
38,0.02189222186390601,0.00023043156,0.70997434496733
39,0.0804323213638532,0.0,0.17119155849595977
40,0.05326486806213059,0.0,0.36527328550801585
41,-0.026952197661133458,1.1920929e-07,0.6470427010272328
42,0.08863975412041039,1.1920929e-07,0.13141543191902053
43,-0.10988817991231639,-0.016935825,0.06118485868795769
44,0.07410921444588436,-0.00299716,0.20748858555304622
45,0.08450551729287545,0.0010319948,0.15045538174612494
46,0.026628381074333313,0.00034844875,0.65100152968803
47,0.014703861099253467,-0.0056216717,0.8027706316341159
48,0.059369036638211026,0.0034368038,0.3128348749774167
49,0.16753392751911042,0.017944694,0.0041582974595022176
50,-0.0258332339726846,-0.0065335035,0.6607640715018757
51,0.0050545626198875695,-1.1920929e-07,0.9315826273325938
52,0.035566077040757614,0.00072824955,0.5456497028474827
53,0.03321769769802555,0.0,0.5725034699683436
54,0.011594975841914039,-0.0005155802,0.8438660622709049
55,0.06929214059849026,0.004733503,0.2386512538361379
56,-0.05521842565418573,-0.008607864,0.3479269712879498
57,0.029802882461362732,0.00042033195,0.6126296338461585
58,0.09350073840106093,0.0072653294,0.11146860425149098
59,0.09857637335906695,0.0076803565,0.09326131283296532
60,-0.021617153868858093,-0.0038855076,0.7134573289426681
61,0.012010347929670666,0.00010806322,0.8383482412045908
62,0.030990455153986733,0.00044983625,0.5985348217739317
63,0.022680839670867103,0.00024974346,0.7000222365124862
64,-0.019441546296669276,-0.033922434,0.7412097661030835
65,0.051855859180702804,0.0026419759,0.37811190709286957
66,-0.003325439266039435,-1.1920929e-07,0.9549564472894587
67,0.21683646362867623,0.020341873,0.00019340662776828077
68,0.14687267180069763,0.012061238,0.012131586578673808
69,0.06312255318670805,0.0039716363,0.28316966299433133
70,0.024397958300587958,-0.037841916,0.6785311332832016
71,0.12011825570922685,0.011475444,0.04059290776678194
72,0.10306971171865828,0.009391665,0.07919982989008563
73,0.03130974662248745,0.0,0.594770395822273
74,-0.02972866699151681,0.0,0.6135152928092156
75,0.12440447849980328,0.011231542,0.03389700748086273
76,0.04567867319208788,0.0017001033,0.4375888238825937
77,-0.016867228362363384,-0.000351429,0.7744834547871446
78,-0.01814501461230699,0.0,0.7579119632842657
79,0.017768495270446886,0.0,0.7627838984126467
80,0.07852653461837313,0.005987942,0.18159488421240605
81,0.023028006526299986,-0.0010097027,0.6956571728197501
82,0.07612082663757641,0.0009075999,0.19538422890924054
83,-0.007410471587995409,-0.0038615465,0.899834184847137
84,0.03838179355744015,0.0,0.5142936670956605
85,0.004095172808942368,-0.002677083,0.9445454412068124
86,-0.01664823052916821,-0.00036501884,0.7773341401003854
87,0.10235656770523481,0.008188784,0.08130950000345968
88,0.042158926613876754,-0.00018918514,0.47374401045080183
89,0.12714136611663546,0.0055591464,0.030132728512712096
90,0.11738686820341603,0.011263609,0.04541678924675687
91,0.07564766956408095,-0.007960439,0.198183920668569
92,0.05995046355100871,-1.1920929e-07,0.3081110522398549
93,0.0008319805523783169,-1.1920929e-07,0.9887251157545922
94,-0.01888831390004064,-0.0036849976,0.7483223108836095
95,0.20027510208986038,3.0398369e-06,0.0005890308034476212
96,0.10806792730191585,0.0016461611,0.06562724489958932
97,0.028550819985767518,1.1920929e-07,0.627645733859298
98,-0.028347035946823345,-0.0063256025,0.6301045366248595
99,0.042365664660458546,0.0005375743,0.4715761966889873
100,0.10243488460628569,0.004830897,0.08107562277553686
101,-0.029659155468130808,0.0,0.6143453259313287
102,-0.017535860876018793,-3.1113625e-05,0.7657987412154362
103,0.1722095840935992,0.02957952,0.0032079050753932425
104,0.19859835334550624,0.024286866,0.0006562002556577688
105,-0.03950695374677347,-0.0009263754,0.5020296782853648
106,-0.017928304643112108,-0.0045125484,0.7607149061618114
107,0.028909615217155876,0.00028568506,0.6233266000873084
108,-0.02087683339289209,-0.007929802,0.7228608444151938
109,0.025667595569883888,-0.0010514259,0.6628050399343666
110,0.04090564907564017,4.553795e-05,0.487001573995266
111,-0.02349065620848248,0.0,0.6898556778729956
112,-0.06232783371326591,-0.006985903,0.28928674165992774
113,0.08467429872819998,0.0011577606,0.14963917865946752
114,0.12491045974550535,0.01084125,0.033172389999501506
115,0.02999085176755018,0.0004992485,0.6103889992604683
116,-0.05837767574517253,-0.016631246,0.3209980637946977
117,0.012209246602763157,-0.0015126467,0.8357088420228433
118,0.06308346249181895,0.003923416,0.283468496080776
119,0.021669564199231002,-0.00075411797,0.7127932344424491
120,0.01712711141963722,-0.0007542372,0.7711044913462248
121,0.04108466106874177,0.001635015,0.4850958063443851
122,-0.06178020903741743,-0.008061767,0.2935530541399786
123,-0.09066472350387737,-0.0016291142,0.12279503278542084
124,0.0017528859070558359,1.1920929e-07,0.9762478394698229
125,-0.09412078543776516,-0.012749553,0.10910509258130258
126,-0.09029708977781419,-0.011506677,0.12432653737006055
127,-0.055238330555814626,0.0,0.34775295409032436
128,-0.03261759949236592,0.0,0.5794644145041545
129,0.02351809226694912,0.0,0.6895122023684258
130,-0.08123276848430226,-0.008979201,0.16695696374479474
131,0.1214624739861951,0.0,0.03838221437233737
132,0.1802000675629375,0.016136229,0.002028321732157506
133,0.15243047341535926,-1.1920929e-07,0.009205852231516515
134,0.0755117275828971,0.0,0.1989936672674271
135,-0.046827569381491706,-0.00056266785,0.4261384008339991
136,0.011501672692797905,0.0,0.8451065646492054
137,0.06116597082236422,0.0036235452,0.2983880469660357
138,-0.044041598517452506,-0.005233288,0.45420504287901176
139,0.028969597285953545,0.0,0.6226057934948382
140,-0.0069951129210686115,-0.005112648,0.9054214896797301
141,0.2722679049982873,0.005131662,2.4301299261547175e-06
